1,1,Supplier,Band1,,,,,
1,100001,Product,Wedding package,,,,,
1,100002,Product,Dance package,,,,,
2,2,Supplier,Band2,,,,,
2,200001,Product,Wedding day package,,,,,
3,3,Supplier,Catering1,,,,,
3,300001,Product,Vegetarian plate,,,,,
3,300002,Product,Meat plate,,,,,
3,300003,Product,Desert,,,,,
4,4,Supplier,Catering2,,,,,
4,400001,Product,Wedding Cake 1,,,,,
4,400002,Product,Wedding Cake 2,,,,,
4,400003,Product,Wedding Cake 3,,,,,
5,5,Supplier,Catering3,,,,,
5,500001,Product,Fruit plate,,,,,
5,500002,Product,Veggie plate,,,,,
6,6,Supplier,Decorations1,,,,,
6,600001,Product,Wedding Props,,,,,
7,7,Supplier,Decorations2,,,,,
7,700001,Product,Baloons,,,,,
8,8,Restaurant,Giovanni's Pizza,,,,,
8,81,Building,46 Smith Ave,,,,,
81,811,Room,Kitchen,,,,,
81,812,Room,Toilet,,,,,
81,813,Room,Dining,,,,,
813,8131,Chair,Chair1,,,,,
813,8132,Chair,Chair2,,,,,
813,8133,Chair,Chair3,,,,,
813,8134,Table,Table1,,,,,
8,9,Wedding,J&J,,,,,
9,10,Menu,Menu,,,,,
10,1011,MenuItem,MenuItem1,,,,,
10,1012,MenuItem,MenuItem2,,,,,
10,1013,MenuItem,MenuItem3,,,,,
10,1014,MenuItem,MenuItem4,,,,,
9,111,Thing,Decorations1,,,,,
9,112,Thing,Decorations2,,,,,
9,121,Event,Band1 Performance,,,,,
9,122,Event,Band2 Performance,,,,,
9,123,Event,Ceremony,,,,,
9,124,Event,Coctail party,,,,,
9,125,Event,Dance,,,,,
9,13,Document,Contract,,,,,
9,14,Client,Jane the Bride,,,,,
9,15,Client,John the Groom,,,,,
16,16,Fair,Car Fair,,,,,
17,17,Quest,Eco-holics,,,,,
18,18,Battle,Ogre,,,,,
19,19,Game,MyGame,,,,,
19,191,Story,GameStory,,,,,
191,1911,Chapter,Chapter1,,,,,
1911,19111,Clip,Intro,,,,,
1911,19112,Level,Level1,,,,,
19112,191121,Resource,Gold,,,,,
19112,191122,Resource,Diamonds,,,,,
19112,191123,Creature,Orc1,,,,,
191123,1911231,Trait,Attack,,,,,
191123,1911232,Trait,Defence,,,,,
19112,191124,Creature,Orc2,,,,,
191124,1911241,Trait,Attack,,,,,
191124,1911242,Trait,Defence,,,,,
19112,191125,Tool,Sword,,,,,
19112,191126,Place,Tavern,,,,,
19112,191127,Place,Cave,,,,,
19112,191128,Portal,BonusLevel,,,,,
19112,191129,Goal,Goal,,,,,
19112,191130,Award,Award,,,,,
19112,191131,Progress,Progress,,,,,
19112,191132,Player,Player,,,,,
191132,1911321,Trait,Attack,,,,,
191132,1911322,Trait,Defence,,,,,
191132,1911323,Tool,Sword,,,,,
1911,19114,Clip,Outro,,,,,
191,1912,Chapter,Chapter2,,,,,
191,1913,Chapter,Chapter3,,,,,

